text,label
"Nonni, brief ontvangen. Ben welvarend. Schrijf mij spoedig weer. F.",0
Cor. Kom je Zondag Vijzelstraat; ben je ziek schrijf mij iets. Annie,1
Frans Zaterdag helaas niet ontmoet. Wanneer wel? Bep,1
"Oproeping. Jans Klein, geb. te Oldenbroek, Gemeente Wezep (Gelderland), laatst gewoond te Zwolle, is spoorloos verdwenen en laat haar Man en vier Kinderen achter. Haar Echtgenoot, Gerd. van Ommen.",0
"Mej. B. 4 weken geleden gezien Dam, Rokin, Oudebrugsteeg, O.Z. Voorburgwal, Artis enz., niet ontmoet. Geef adres of plaats samenkomst, onder lett. L T 964, N. v/d Dag.",1
"Henri. Ik lijd vreeselijk door je stilzwijgen; sinds Maandag liggen mijne brieven aande Kiosk onafgehaald. Telegrapheer direct, wanneer ik je spreken mag, dan zal ik je de redenen zeggen, waarom ik dien onzinnigen brief schreef. G.",1
"N. Hij is op den vasten dag de Stad uitgegaan, kon er dus niet zijn. Maandag komt hij er weer in. Adieu, als altijd, je K, L. A.",1
"Huwelijk. De jonge Dame, die in kennis wenscht te komen met een 27-jarigen Jongeman om met hem in armoe en rijkdom het leven te doorgaan, gelieve te schrijven ond. lett. N F 348, N.v.d.D.",0
"Schrijf meer Maria onder no. 1270-68572 Bureau De Maasbode, Rotterdam.",0
"L.A. Het doet mij leed, dat ik u niet heb kunnen antwoorden. Denk steeds aan mij. Uw schrijven was zeer kort. Gegroet, Z.W.A.M.",0
Hans. Kom nu Dinsdagavond. 3258 L.L. 40,1
"Een dame vraagt een heer (liefst Vrijer) om Stenografisch te correspondeeren. Stipte Geheimhouding. 13802 8 Adr.fr.br.lett Z bij Rothmeijer's Boekhandel, Hoogstraat 266 Rotterd.",0
Aan Pia. Zeer gaarne wil 'k nader met U kennismaken. 'k Verwacht een brief van U. Daag beste Pia. Brieven onder No. T. 2408 aan 't Bureau v/d Ind. Courant.,0
"Vrijdagavond. --Mejuffrouw, Omstandigheden buien mijn wil verhinderden mij tot mijn spijt op den hoek der straat te blijven wachten. Kom Maandag- en Dinsdagavond 8 uur daar terug.",1
"Ko, schrijf meer. Brief onder no. 22165, bureau Maasbode, E'dam.",0
Ik moet je spreken. Jij weet wel wanneer en waar.,1
"Huwelijk. Dame, Zaterdagavond 6 uur Pluimveetentoonstelling, ca. 25 j., blonde heer (blootshoofds) gesproken, gelieve schrijven No. K.W. 12183, Kiosk Veemarkt.",0
"Liefste, Houd 't zoo niet uit. Moet je spreken - al zoo lang niet. Laatste keer maanden geleden gereden station Goebeng -- je weet toch dat ik je nooit opgeef. T 2492",0
"Eveline, Ik verwacht je in de Grillroom Donderdagavond. Jongeman. L 10532",1
"Dr. Ik kom Vrijdagmiddag a.s. 12 uur op de Markt ten uwent. Verzoek, als herkenningsteeken, rood doekje uit den Jaszak.",1
